#,Name of scholarship,Degree Type,Deadline,Country ,Scholarship Coverage,Language Proficiency,Other relevant notes,Application Link
1,Open University Milton Keynes,PhD,Opens autumn 2025,UK,"full tuition, stipend or maintenance (monthly/annually)",IELTS,"The Open University Faculty of Business and Law
Only for full time study",https://business-school.open.ac.uk/research/research-degrees/phd-studentships
32,Wellington Doctoral Scholarship,PhD,1-Nov-2025,New Zealand,"stipend or maintenance (monthly/annually), partial tuition","IELTS, TOEFL","Closing date(s): Three rounds each year closing 1 March, 1 July and 1 November.
Consists of a $30,500 per annum stipend plus domestic tuition fees for up to three years
Open to graduates of any university worldwide with excellent academic records    
",https://www.wgtn.ac.nz/scholarships/current/wellington-doctoral-scholarships
33,University of Auckland Doctoral Scholarships,PhD,1-Nov-2025,New Zealand,"full tuition, stipend or maintenance (monthly/annually), health allowance",unclear,"Full tuition is available for 36 months
",https://www.auckland.ac.nz/en/study/scholarships-and-awards/scholarship-types/postgraduate-scholarships/doctoral-scholarships.html
34,Global MIT At-Risk Fellows Program Palestine,Research Fellowship,closed,USA,"stipend or maintenance (monthly/annually), travel allowance, health allowance, accommodation",,"Information about the 2026 application will be shared in September/October 2025.

Palestinian researchers with recent academic/research appointments; born in Palestine or refugee camps",https://global.mit.edu/gmaf-palestine/
35,University of Sydney,"Master's, PhD","12-Sep-2025

19-Dec-2025",Australia,"full tuition, health allowance, stipend or maintenance (monthly/annually)","Depends on university or degree program, IELTS, TOEFL",Must be in a higher degree by research program. More on English language requirements here: https://www.sydney.edu.au/study/applying/how-to-apply/international-students/english-language-requirements.html#postgraduate ,"https://www.sydney.edu.au/scholarships/australian-government-research-training-program.html

This link includes several scholarships that are similar but it is worth looking at the details for each one"
36,Stipendium Hungaricum,"Bachelor's, Master's, PhD",closed,Hungary,"full tuition, accommodation",Depends on university or degree program,,https://stipendiumhungaricum.hu
37,Palestine Crisis Scholarship Scheme (Oxford),Master's,closed,UK,"full tuition, stipend or maintenance (monthly/annually), travel allowance",Depends on university or degree program,"Open to those who hold an offer for any one-year full-time or two-year part-time taught master's course starting in the 2025-26 academic year,",https://www.ox.ac.uk/admissions/graduate/fees-and-funding/fees-funding-and-scholarship-search/crisis-scholarship-scheme
38,SS Scholarship Fund - MSU,"Bachelor's, Master's, PhD",closed,USA,one-time specific value,TOEFL,"For students in a STEM field
Awards will be for the amount of at least $10,000",https://isp.msu.edu/information-resources/student-funding/ss-scholarship-fund/
39,SAFE Fellowships,"PhD, Postdoc",20-Jan-2025,Europe,"full tuition, stipend or maintenance (monthly/annually), travel allowance",,"Please note that SAFE is a pilot project, therefore only one call is foreseen at this stage

Applications must be submitted by prospective host institutions on behalf of researchers who meet the eligibility criteria",https://saferesearchers.eu/
40,Pathways Beyond Neoliberalism Fellowships,Master's,"29-Oct 2024

16 -Jan-2025

08-May-2025",Egypt,"full tuition, stipend or maintenance (monthly/annually), travel allowance, accommodation, health allowance",TOEFL,"Special consideration for displaced and marginalized students Algeria, Comoros, Djibouti, Egypt, Iraq, Jordan, Lebanon, Libya, Mauritania, Morocco, Palestine, Somalia, Sudan, Syria, Tunisia, Yemen",https://www.aucegypt.edu/admissions/fellowships/listing/pathways-beyond-neoliberalism
41,Rhodes Scholarship,"Master's, PhD",Applications are open for 2026 cycle,UK,"full tuition, stipend or maintenance (monthly/annually), visa cost, travel allowance, unclear",Depends on university or degree program,"£19,800. Outstanding young leaders focusing on public service. Age must be under 24. Will consider applicants up to the age of 27 in some cases",https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/
42,Felix Non-Indian Scholarship at SOAS,"Master's, PhD",31-Jan-2025,UK,"full tuition, stipend or maintenance (monthly/annually), travel allowance","IELTS, TOEFL",SOAS University of London. See English language requirements here: https://www.soas.ac.uk/english-language-requirements ,https://www.soas.ac.uk/study/student-life/finance/scholarships/felix-non-indian-scholarship
43,Mahmoud S. Rabbani Scholarship,"Master's, PhD",Closed,The Netherlands,one-time specific value,Depends on university or degree program,"Open to Arab students who have received an official acceptance letter for a Master’s or a Ph.D programme in the Netherlands.

The maximum scholarship amount is €15,000.",https://rabbanifoundation.org/scholarships/msr-scholarships/
44,PACC Scholarships (USA),Bachelor's,Closed,USA,one-time specific value,IELTS,"Multiple awards; based on community service, GPA, Arabic background",https://www.paccusa.org/scholarship.html
45,Refugee and Displaced Persons Scholarships – University of London,"Bachelor's, Master's, PhD",Depends on programme,UK,full tuition,,"For those with refugee or displaced person status
Multiple options available",https://www.london.ac.uk/study/fees-funding/funding-study/scholarships-bursaries/refugee-displaced-persons-scholarships
46,Chevening Scholarship ,Master's,7-Oct-2025,UK,"stipend or maintenance (monthly/annually), full tuition, travel allowance, visa cost",Depends on university or degree program,,https://www.chevening.org/scholarship/occupied-palestinian-territories/
47,Said Foundation,Master's,31-Oct-2025,UK,"full tuition, stipend or maintenance (monthly/annually), visa cost, travel allowance, health allowance",Depends on university or degree program,Around 20 - 30 scholarships are awarded annually,https://saidfoundation.org/scholarships/
48,Gaza-Palestine Postgraduate Taught Scholarship – University of Sheffield,Master's,Closed,UK,"full tuition, stipend or maintenance (monthly/annually), accommodation",unclear,For a citizen of Gaza,https://www.sheffield.ac.uk/international/fees-and-funding/scholarships/postgraduate/gaza?fbclid=IwY2xjawE1L1BleHRuA2FlbQIxMQABHUYiOfAuU5QnIwVHQnSX8y2XajvK_2K-u1jWtg5NedP8LruuwaA_tQnesA_aem_5pJWcQwM4xQzllv5kRbv4Q
49,Ireland-Palestine Scholarship Programme,Master's,2026/2027 application link is not available,Ireland,"full tuition, stipend or maintenance (monthly/annually), health allowance, travel allowance, visa cost, accommodation","IELTS, TOEFL, Duolingo Test","For inquiries, please contact Amideast :For Gaza applicants: Tel: 02-2408023 ext. 130",https://www.ireland.ie/en/ramallah/about/ireland-palestine-scholarship-programme/
50,Fulbright,"Master's, PhD",closed for 2026/2027,USA,"full tuition, stipend or maintenance (monthly/annually), travel allowance","IELTS, TOEFL, Duolingo Test",Submitting English test scores is optional,https://www.amideast.org/our-work/find-a-scholarship/graduate-study/fulbright/how-to-apply/fulbright-foreign-student-program-for-west-bank-and
51,McCall McBain Scholars,Master's,closed,Canada,"full tuition, travel allowance, stipend or maintenance (monthly/annually)","IELTS, TOEFL","McGill University. In addition to Master's degrees, the following ""second-entry professional undergraduate degrees"" are eligible: BCL/JD (Law), DMD (Dentistry), MDCM (Medicine)",https://mccallmacbainscholars.org/
52,QRDI Fellowship for Displaced Arab Researchers (DAR),"Postdoc, Research Fellowship, Scholars at Risk",To be confirmed,Qatar,"stipend or maintenance (monthly/annually), travel allowance",,Must hold a PhD already. Fellowship for displaced Arab researchers / scholars at risk,https://innolight.qrdi.org.qa/opportunities/p/73
53,COPTY Scholarship,Master's,"To be confirmed, see notes section.",Northern Ireland (UK),"full tuition, accommodation",Depends on university or degree program,"Queen's University Belfast. If the application opens, it is expected to open by late 2025 and close by March 2026. Please check regularly in advance.
",https://www.qub.ac.uk/Study/international-students/international-scholarships/middle-east-north-africa/copty-scholarship-terms-and-conditions/
54,University of Padua Students at Risk,"Bachelor's, Master's","To be confirmed, see notes section.",Italy,"full tuition, stipend or maintenance (monthly/annually)",Depends on university or degree program,"Unviersity of Padua. If the application opens, it is expected to open by May 2026. Please check regularly in advance.",https://www.unipd.it/en/students-at-risk
55,France Excellence Scholarship Programme,"Master's, PhD","To be confirmed, see notes section.",France,"stipend or maintenance (monthly/annually), health allowance, visa cost, full tuition",Depends on university or degree program,"If the application opens, it is expected to open by October 2025 and close by December 2025. Please check regularly in advance.",https://jerusalem.consulfrance.org/-Universitaire-et-administrative-596-
56,"2026-2027 Fellowships for Palestinian Scholars Conducting Humanities and Social Science Field-Based Research on Palestine
","PhD, Postdoc, Research Fellowship",4-Dec-2025,"Palestine, Jordan, Lebanon, or Egypt",one-time specific value,,"Max award of 6,000 USD. Applicants must be scholars who have earned their PhD or doctoral students enrolled in a recognized degree program. Funds research focused on Gaza that must take place in Palestine, Jordan, Lebanon, or Egypt",https://www.parc-us-pal.org/fellowships-for-palestinians/
57,Hilde Domin Programme ,"Master's, PhD",closed for 2026/2027,Germany,"stipend or maintenance (monthly/annually), travel allowance, health allowance","IELTS, TOEFL, Duolingo Test","Applicants have to be nominated, and they cannot nominate themselves. They are nominated by the management (presidiums/rectorates) of an institution or organisation which is a legal entity domiciled in Germany and which carries out an activity in the field of science, research and teaching and/or the protection of human rights, the promotion of peace and democracy or the rule of law. The program is administered at several universities, including Technical University of Munich https://www.tum.de/en/studies/fees-and-financial-aid/scholarships/tum-scholarships/students-at-risk-hilde-domin-programme ",https://www.daad.de/en/studying-in-germany/scholarships/daad-funding-programmes/hilde-domin-programme/
58,Shireen Abu Akleh MA Scholarship in Palestine Studies,Master's,"To be confirmed, see notes section.",UK,"full tuition, stipend or maintenance (monthly/annually)",Depends on university or degree program,"University of Exeter. If the application opens, it is expected to close by May 2026. Please check regularly in advance.",https://www.exeter.ac.uk/study/funding/award/?id=5536
59,OSC Scholarships,"Master's, PhD",closed for 2026,Brazil,"full tuition, stipend or maintenance (monthly/annually)",Depends on university or degree program,Academic year starts usually in February. Choose to study at one of many Brazilian universities.,https://osc.int/scholarships/
60,MIT Emerging Talent in Computer and Data Science Certificate,Certificate Program,"To be confirmed, see notes section.",USA/remote,full tuition,unclear,"""Applications will be screened to assess English language fluency in speaking and writing."" Must have reliable access to computer and internet. All work is done remotely. If the application opens, it is expected to open by October 2025. Please check regularly in advance.",https://emergingtalent.mit.edu/apply/#eligibilitycriteria
61,UCL Access Opportunity Scholarship,Bachelor's,closed,UK,"full tuition, stipend or maintenance (monthly/annually)","IELTS, TOEFL",University College London,https://www.ucl.ac.uk/scholarships/ucl-access-opportunity-scholarship
62,PSSAR Mentorship Program,"PhD, Master's",undetermined (open currently),Canada,unclear,unclear,The aim of this initiative is to match students wishing to pursue a research degree with supervising professors from Canada.,https://applicants.pssar.ca/
63,King Fahad University,"Master's, PhD",To be confirmed,Saudi Arabia,"stipend or maintenance (monthly/annually), accommodation, health allowance, travel allowance","IELTS, TOEFL",King Fahd University of Petroleum & Minerals Chemical Engineering Department,https://che.kfupm.edu.sa/academic-programs/scholarships
64,University of Toronto Lester B. Pearson International Student Scholarships,Bachelor's,closed for 2026/2027,Canada,"full tuition, accommodation","IELTS, TOEFL, Duolingo Test",Applicants must be nominated by their secondary school and apply to undergraduate studies at the University of Toronto.,https://future.utoronto.ca/finances/awards/admission-awards/
65,Equal Opportunity Scholarship (Aachen),"Bachelor's, Master's, PhD",closed,Germany,stipend or maintenance (monthly/annually),unclear,"RWTH Aachen University. The funding is granted for eight months, with a funding amount of up to 934 euros per month.",https://www.rwth-aachen.de/go/id/bgvloc?lidx=1#aaaaaaaaabgvmeh
66,Qatar University International Students Scholarship,Bachelor's,"To be confirmed, see notes section.",Qatar,"full tuition, stipend or maintenance (monthly/annually), accommodation, travel allowance","IELTS, TOEFL","If the application opens, it is expected to open by March 2026. However, students will need to apply for the degree before the scholarship. Please check regularly in advance.",https://www.qu.edu.qa/en-us/students/admission/scholarships/Pages/types.aspx#competitive-scholarships
67,UNU EHS,Master's,15-Dec-2025,Germany,"stipend or maintenance (monthly/annually), travel allowance, health allowance","IELTS, TOEFL, Duolingo Test","Joint MSc in Geography of Environmental Risks and Human Security at the University of Bonn

Monthly payments of 992 euros for graduates.
Payments towards health, accident and personal liability insurance cover
Travel allowance, unless these expenses are covered by the home country or another source of funding
Under certain circumstances, scholarship holders may receive the following additional benefits:
Monthly rent subsidy
Monthly allowance for accompanying members of family",https://unu.edu/ehs/learning/msc-geography-environmental-risks-and-human-security
68,University of Sydney Master of Social Justice,Master's,To be confirmed,Australia,stipend or maintenance (monthly/annually),"IELTS, TOEFL","Full-time $8,000 AUD in the year of receipt of the scholarship. Part-time $4,000 AUD in the year of receipt of the scholarship.",https://www.sydney.edu.au/scholarships/b/peace-and-social-justice-scholarship.html
69,LSE ID project studenships,"Master's, PhD",closed,UK,unclear,"IELTS, TOEFL",London School of Economics International Development MRes/Phd programme ,https://www.lse.ac.uk/international-development/study/LSE-ID-Project-Studentships
70,Swiss Government Excellence Scholarship,"PhD, Research Fellowship, Postdoc",28-Nov-2025,Switzerland,"stipend or maintenance (monthly/annually), health allowance",Depends on university or degree program,"The research scholarship (research fellowship, PhD, Postdoc) is available to post-graduate researchers in any discipline (who hold a master’s degree is the minimum qualification required) who are planning to come to Switzerland to pursue research or further studies at doctoral or post-doctoral level.

Art scholarships are open to art students wishing to pursue an initial arts master’s degree in Switzerland.",https://www.sbfi.admin.ch/sbfi/en/home/education/scholarships-and-grants/swiss-government-excellence-scholarships.html#557188199
71,Dima AlHaj scholarship (Glasgow),"Bachelor's, Master's","To be confirmed, see notes section.",UK,"full tuition, accommodation, stipend or maintenance (monthly/annually)","TOEFL, IELTS","University of Glasgow, Applications for this scholarship will open in approximately October 2025 for 2026/27 entry. ",https://www.gla.ac.uk/scholarships/thedimaalhajscholarship/
72,Australia Awards Scholarship,Master's,"closed, reopen in February 2025",Australia,"full tuition, travel allowance, stipend or maintenance (monthly/annually), health allowance","IELTS, TOEFL",,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships-opening-and-closing-dates and https://www.dfat.gov.au/sites/default/files/australia-awards-palestinian-territories-information-for-intake.pdf 
73,PEO- International Peace Scholarship Fund,"Bachelor's, Master's, PhD",15-Dec-2025,Canada/USA,stipend or maintenance (monthly/annually),unclear,"Women only. Max award is $12,500",https://www.peointernational.org/educational-support/international-peace-scholarship-fund/eligibility-and-application-process/
74,TechWomen Program,Certificate Program,To be confirmed,USA,"full tuition, travel allowance",,"Women professionals in STEM fields with a bachelor's degree and two years of experience
Albania, Algeria, Cameroon, Egypt, Jordan, Kazakhstan, Kenya, Kyrgyzstan, Lebanon, Libya, Morocco, Nigeria, Pakistan, Palestinian Territories, Rwanda, Sierra Leone, South Africa, Tajikistan, Tunisia, Turkmenistan, Uzbekistan, Zimbabwe        TechWomen Eligibility and Application",https://www.techwomen.org/participants/eligibility-and-application
75,Weidenfeld Hofman + Oxford University,"Master's, PhD",Dec 2025 or Jan 2026 (varies by degree program),UK,"full tuition, stipend or maintenance (monthly/annually)","IELTS, TOEFL","In order to be considered for this scholarship, you must select the Weidenfeld-Hoffmann Scholarships and Leadership Programme in the University of Oxford Scholarships section of the University's graduate application form and submit your application for graduate study by the relevant December or January deadline for your course.

Stipend is at least £20,780. The scholarships aim to support outstanding university graduates and professionals, mainly from developing and emerging economies, and who would not otherwise be able to support themselves to study at Oxford.  ",https://www.ox.ac.uk/admissions/graduate/fees-and-funding/fees-funding-and-scholarship-search/weidenfeld-hoffmann-scholarships-and-leadership-programme
76,Cambridge University,"Master's, PhD",Dependent on your course – either 3 December 2024 or 7 January 2025,UK,"full tuition, stipend or maintenance (monthly/annually), visa cost, travel allowance","IELTS, TOEFL",,https://www.gatescambridge.org/apply/timeline/
77,University of Toronto Scholars Program,Bachelor's,depends on degree program,Canada,partial tuition,"IELTS, TOEFL, Duolingo Test","$10,000 CAD in first year (non-renewable). Automatic consideration; a separate application is not required)",https://future.utoronto.ca/finances/awards/university-of-toronto-scholars-program/
78,University of Toronto President’s Scholars of Excellence Program,Bachelor's,depends on degree program,Canada,partial tuition,"IELTS, TOEFL, Duolingo Test","$15,000 CAD in first year (non-renewable). Automatic consideration; a separate application is not required)",https://future.utoronto.ca/scholarships/presidents-scholars-of-excellence-program/
79,University of Montreal International tuition fee exemptions,"Bachelor's, Master's, PhD",depends on degree program,Canada,partial tuition,Depends on university or degree program,"University of Montreal (Université de Montréal) is a French-language university. However, many graduate programs are in English. Undergraduate programs appear to be in French. The scholarship covers some, but not all, tuition fees.",https://admission.umontreal.ca/en/scholarship-for-international-students/
80,Netherldands scholarships ,"Bachelor's, Master's",Depends on university,Netherlands ,partial tuition,Depends on university or degree program,5000 Euro, https://www.studyinnl.org/finances/nl-scholarship
81,"Albukhary Foundation Scholarship at 
Architectural Association
School of Architecture","Bachelor's, Certificate Program","end of Feb 2025; however, the application to the program that the scholarship funds was due in Nov 2024",UK,"full tuition, accommodation, stipend or maintenance (monthly/annually), visa cost, travel allowance","IELTS, TOEFL","
Architectural Association
School of Architecture. The scholarship is awarded for the full duration of the five-year course in architecture comprising the Intermediate Programme and Diploma Programme. The scholarship is available to students who are commencing their studies in the First Year of the three-year Intermediate Programme, and upon successful completion of their studies go on to enter the two-year Diploma Programme.",https://www.aaschool.ac.uk/admissions/feesandfinancialassistance/albukharyscholarships
